The Hyperparameter:
        d_model = 64 d_ff = 32
        n_heads = 4 Batch_size = 256 lr = 0.001
        label_len = 10 dropout = 0.3
        e_layers = 5  d_layers = 4
          Is scaler :FalseAfter training train\20190401_20190412  Train_loss:0.890106 R2:0.259760 | Val_Loss:0.704605 |R2:0.414683 |Rate:0.704 |lr:0.000884
After training train\20190412_20190424  Train_loss:0.840608 R2:0.363812 | Val_Loss:0.880965 |R2:0.334408 |Rate:0.678 |lr:0.001765
After training train\20190425_20190510  Train_loss:0.949393 R2:0.407815 | Val_Loss:0.882796 |R2:0.460531 |Rate:0.709 |lr:0.001710
After training train\20190510_20190522  Train_loss:0.741997 R2:0.403410 | Val_Loss:0.721136 |R2:0.432940 |Rate:0.705 |lr:0.001490
After training train\20190523_20190604  Train_loss:0.562809 R2:0.431520 | Val_Loss:0.574161 |R2:0.432633 |Rate:0.704 |lr:0.001347
After training train\20190604_20190617  Train_loss:0.374569 R2:0.427908 | Val_Loss:0.417689 |R2:0.369523 |Rate:0.679 |lr:0.001237
After training train\20190617_20190628  Train_loss:0.394920 R2:0.400289 | Val_Loss:0.404797 |R2:0.405544 |Rate:0.697 |lr:0.001152
After training train\20190628_20190710  Train_loss:0.292363 R2:0.432343 | Val_Loss:0.280106 |R2:0.451848 |Rate:0.698 |lr:0.001087
After training train\20190710_20190723  Train_loss:0.335068 R2:0.404458 | Val_Loss:0.338011 |R2:0.406357 |Rate:0.678 |lr:0.001027
After training train\20190723_20190731  Train_loss:0.236715 R2:0.422747 | Val_Loss:0.233009 |R2:0.444630 |Rate:0.688 |lr:0.000991
Save here
Epoch:  1 |Train_Loss:0.561855 |R2:0.395406|Val_Loss:0.543727 |R2:0.415310 |Rate:0.694|lr:0.000991
After training train\20190401_20190412  Train_loss:0.628245 R2:0.474764 | Val_Loss:0.622920 |R2:0.487249 |Rate:0.724 |lr:0.000940
After training train\20190412_20190424  Train_loss:0.742150 R2:0.437370 | Val_Loss:0.749907 |R2:0.440802 |Rate:0.701 |lr:0.000896
After training train\20190425_20190510  Train_loss:0.847635 R2:0.470620 | Val_Loss:0.835281 |R2:0.488720 |Rate:0.715 |lr:0.000858
After training train\20190510_20190522  Train_loss:0.685644 R2:0.449045 | Val_Loss:0.684278 |R2:0.457472 |Rate:0.704 |lr:0.000825
After training train\20190523_20190604  Train_loss:0.525869 R2:0.469574 | Val_Loss:0.525088 |R2:0.468919 |Rate:0.709 |lr:0.000798
After training train\20190604_20190617  Train_loss:0.359883 R2:0.450081 | Val_Loss:0.365626 |R2:0.448255 |Rate:0.703 |lr:0.000774
After training train\20190617_20190628  Train_loss:0.376284 R2:0.428900 | Val_Loss:0.389007 |R2:0.417937 |Rate:0.691 |lr:0.000751
After training train\20190628_20190710  Train_loss:0.279673 R2:0.454871 | Val_Loss:0.278044 |R2:0.469101 |Rate:0.700 |lr:0.000732
After training train\20190710_20190723  Train_loss:0.319179 R2:0.433506 | Val_Loss:0.313654 |R2:0.442944 |Rate:0.687 |lr:0.000713
After training train\20190723_20190731  Train_loss:0.228850 R2:0.442719 | Val_Loss:0.227339 |R2:0.451769 |Rate:0.687 |lr:0.000701
Save here
Epoch:  2 |Train_Loss:0.499341 |R2:0.451145|Val_Loss:0.499114 |R2:0.457317 |Rate:0.702|lr:0.000701
After training train\20190401_20190412  Train_loss:0.597076 R2:0.500442 | Val_Loss:0.589436 |R2:0.518273 |Rate:0.732 |lr:0.000682
After training train\20190412_20190424  Train_loss:0.715860 R2:0.457103 | Val_Loss:0.718067 |R2:0.461879 |Rate:0.707 |lr:0.000665
After training train\20190425_20190510  Train_loss:0.815650 R2:0.491876 | Val_Loss:0.809763 |R2:0.489027 |Rate:0.721 |lr:0.000649
After training train\20190510_20190522  Train_loss:0.660780 R2:0.468165 | Val_Loss:0.678299 |R2:0.465803 |Rate:0.709 |lr:0.000634
After training train\20190523_20190604  Train_loss:0.511704 R2:0.482384 | Val_Loss:0.519356 |R2:0.486180 |Rate:0.715 |lr:0.000622
After training train\20190604_20190617  Train_loss:0.353373 R2:0.460753 | Val_Loss:0.356990 |R2:0.452478 |Rate:0.701 |lr:0.000610
After training train\20190617_20190628  Train_loss:0.367880 R2:0.441769 | Val_Loss:0.387311 |R2:0.412701 |Rate:0.687 |lr:0.000599
